dimension	value	cells
project	GSE205506	166624
sample	GSM6213956	722
sample	GSM6213957	1344
sample	GSM6213958	3905
sample	GSM6213959	4503
sample	GSM6213960	6084
sample	GSM6213961	11211
sample	GSM6213962	9228
sample	GSM6213963	1622
sample	GSM6213964	2408
sample	GSM6213965	5979
sample	GSM6213966	3647
sample	GSM6213967	7145
sample	GSM6213968	2204
sample	GSM6213969	1044
sample	GSM6213970	4319
sample	GSM6213971	7686
sample	GSM6213972	3159
sample	GSM6213973	2974
sample	GSM6213974	5094
sample	GSM6213975	3461
sample	GSM6213976	6196
sample	GSM6213977	3324
sample	GSM6213978	3582
sample	GSM6213979	2815
sample	GSM6213980	3886
sample	GSM6213981	1604
sample	GSM6213982	3014
sample	GSM6213983	3838
sample	GSM6213984	3704
sample	GSM6213985	1771
sample	GSM6213986	2467
sample	GSM6213987	2463
sample	GSM6213988	5564
sample	GSM6213989	8602
sample	GSM6213990	1601
sample	GSM6213991	2420
sample	GSM6213992	4107
sample	GSM6213993	3548
sample	GSM6213994	9049
sample	GSM6213995	5330
subject	P11	2066
subject	P12	8408
subject	P14	6084
subject	P15	20439
subject	P17	4030
subject	P18	9626
subject	P19	9349
subject	P21	5363
subject	P23	7686
subject	P24	6133
subject	P25	14751
subject	P26	3324
subject	P27	10283
subject	P28	8456
subject	P29	5475
subject	P30	10494
subject	P31	12623
subject	P32	16704
subject	P33	5330
response	pCR	132643
response	non-pCR	33981
timepoint	post-treatment	115362
timepoint	pre-treatment	51262
tissue	colon	155931
tissue	rectum	10693
broad_compartment	B	23464
broad_compartment	Epithelial	77355
broad_compartment	T/I/NK	32392
broad_compartment	Endothelial	15163
broad_compartment	Fibroblast	8645
broad_compartment	Myeloid	9605
