sample_accession	file_name	local_path	file_size_bytes	sha256_from_inventory	import_status	import_method	observed_feature_rows	unique_features	duplicate_feature_rows_collapsed	cells_imported	nonzero_values
GSM5709979	GSM5709979_matrix_inflection_DSF011.txt.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\03_matrices\GSE189926\GSM5709979_matrix_inflection_DSF011.txt.gz	14783497	4d0d3d177422b7aca96748610a91641ea70eaa0bb2f1ca344df70e9c2a6f5e73	completed	R chunked gzip text reader to Matrix dgCMatrix; no full matrix dense expansion	37716	37716	0	4639	7242075
GSM5709980	GSM5709980_matrix_inflection_DSF012.txt.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\03_matrices\GSE189926\GSM5709980_matrix_inflection_DSF012.txt.gz	9598773	3f7038eaf98506170def38a7365b5c0926961142e2296e4c1d3d7b53400c6af2	completed	R chunked gzip text reader to Matrix dgCMatrix; no full matrix dense expansion	37398	37398	0	2546	5040051
GSM5709981	GSM5709981_matrix_inflection_DSF021.txt.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\03_matrices\GSE189926\GSM5709981_matrix_inflection_DSF021.txt.gz	25943846	8cfd9d2e45e1c03dcb779841416845737a4b4d33f9df0d6449439bcfc85d9c7c	completed	R chunked gzip text reader to Matrix dgCMatrix; no full matrix dense expansion	42075	42075	0	6589	14036618
GSM5709982	GSM5709982_matrix_inflection_DSF022.txt.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\03_matrices\GSE189926\GSM5709982_matrix_inflection_DSF022.txt.gz	16995606	77622fce349e610a693ab131bc5035d95d2590370806d1ec1d92ffbf5a1f3b66	completed	R chunked gzip text reader to Matrix dgCMatrix; no full matrix dense expansion	40595	40595	0	4230	8765965
GSM5709983	GSM5709983_matrix_inflection_DSF031.txt.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\03_matrices\GSE189926\GSM5709983_matrix_inflection_DSF031.txt.gz	16220646	3dfb74f7a7b7c542b0dfb9b37cf39703242b062929e6f845544dc24bb9bd20f3	completed	R chunked gzip text reader to Matrix dgCMatrix; no full matrix dense expansion	38229	38229	0	6420	7186412
GSM5709984	GSM5709984_matrix_inflection_DSF032.txt.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\03_matrices\GSE189926\GSM5709984_matrix_inflection_DSF032.txt.gz	18027704	6b467c6b9ae0d3d8117ff830d03d7c8baaf61dc42f51b15b3fdf9ecbb56b4f35	completed	R chunked gzip text reader to Matrix dgCMatrix; no full matrix dense expansion	39240	39240	0	5693	8652224
GSM5709985	GSM5709985_matrix_inflection_DSF041.txt.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\03_matrices\GSE189926\GSM5709985_matrix_inflection_DSF041.txt.gz	10239272	c26f91cf6016be5ee2cf28afac7fe129dd24233b1d63a78391a16de5b029d7a4	completed	R chunked gzip text reader to Matrix dgCMatrix; no full matrix dense expansion	36999	36999	0	3184	4700440
GSM5709986	GSM5709986_matrix_inflection_DSF051.txt.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\03_matrices\GSE189926\GSM5709986_matrix_inflection_DSF051.txt.gz	9934282	fc8fa83c31049367242f25392d0b7198a05253a5bc8fa7fb9eb4ad2b578c9910	completed	R chunked gzip text reader to Matrix dgCMatrix; no full matrix dense expansion	33559	33559	0	3533	5276831
GSM5709987	GSM5709987_matrix_inflection_DSF061.txt.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\03_matrices\GSE189926\GSM5709987_matrix_inflection_DSF061.txt.gz	21096711	723a224fa65faf3a32a4fdbb404a4c4b1084f4122bb8d4fee915c0745c348bc0	completed	R chunked gzip text reader to Matrix dgCMatrix; no full matrix dense expansion	39785	39785	0	6651	10502152
GSM5709988	GSM5709988_matrix_inflection_DSF062.txt.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\03_matrices\GSE189926\GSM5709988_matrix_inflection_DSF062.txt.gz	33469050	ce3e03b66fa9cb7852a5f85c692e5318591f49baf3f542eaabf00f35834edf63	completed	R chunked gzip text reader to Matrix dgCMatrix; no full matrix dense expansion	41165	41165	0	10022	19067073
GSM5709989	GSM5709989_matrix_inflection_DSF071.txt.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\03_matrices\GSE189926\GSM5709989_matrix_inflection_DSF071.txt.gz	12310167	419a5a3391bc10d976e4325d11fb34b861d6079b15da27717f3e7ac217d30505	completed	R chunked gzip text reader to Matrix dgCMatrix; no full matrix dense expansion	34937	34937	0	4977	6021211
GSM5709990	GSM5709990_matrix_inflection_DSF072.txt.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\03_matrices\GSE189926\GSM5709990_matrix_inflection_DSF072.txt.gz	19490965	a3adac4f7bde258a8921ddc9452032efc46f385c438d96b35567a471ee93457a	completed	R chunked gzip text reader to Matrix dgCMatrix; no full matrix dense expansion	38574	38574	0	5659	9809556
GSM5709991	GSM5709991_matrix_inflection_DSF081.txt.gz	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\03_matrices\GSE189926\GSM5709991_matrix_inflection_DSF081.txt.gz	13272284	8650e6cd5f425caea88a964b8b0445b1edc6fd1f1ddddafbd628599150f8ea07	completed	R chunked gzip text reader to Matrix dgCMatrix; no full matrix dense expansion	37881	37881	0	5184	6972610
